Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.9933643124994822,1000,,,,-0.0623779296875,0.0271484375,-0.9832275390625,0.00014223217693297733,0.012433514003164775,12.367176711559296,-0.05484556159935892,0,0,0.6782849877912668,0,0,0,0,0.0697021484375,,
0.9577443749996133,1000,,,,-0.0625,0.0258544921875,-0.9822509765625,0.00010285490201812399,0.014441886374346355,12.366999185085296,-0.053961908305063845,0,0,0.6673447732082335,0,0,0,0,0.0702880859375,,
2.915561437499523,1000,,,,-0.0625,0.025048828125,-0.9815185546875,0.00017319040801887968,0.012778023003494463,12.367203712463379,-0.05481659416109323,0,0,0.6779273371215777,0,0,0,0,0.0705078125,,
4.8910479999995795,1000,,,,-0.0625,0.024560546875,-0.980908203125,0.0001466020877450491,0.012598001964559105,12.366872775554658,-0.053705366887152196,0,0,0.6641664267135392,0,0,0,0,0.0713623046875,,
6.783762374999675,1004.4598062500111,,,,-0.0625,0.0265380859375,-0.982568359375,0.0001569337717661858,0.013826279820096115,12.36709395647049,-0.05353014399297536,0,0,0.6620131139570054,0,0,0,0,0.0703369140625,,
8.627197812499503,1053.9548479166942,,,,-0.0625,0.028125,-0.984228515625,0.0001375433335603851,0.012038754275362364,12.367663288116455,-0.05192231684923172,0,0,0.6421567806119268,0,0,0,0,0.0696044921875,,
10.468407937499626,1115.3269145833624,,,,-0.0625,0.0257080078125,-0.981982421875,0.00013484962270793853,0.012892353951307724,12.367252457141877,-0.052541339211165904,0,0,0.6497936779621117,0,0,0,0,0.0699462890625,,
12.318177499999567,1176.976970833362,,,,-0.0603515625,0.0217041015625,-0.9822509765625,-0.0006910613818293481,0.012038797785383484,12.367648720741272,-0.03952571307308972,0,0,0.7486421093477239,0,0,0,0,0.072265625,,
14.188707874999547,1239.3356416666977,,,,-0.0430908203125,0.0011962890625,-0.9955322265625,-0.017178554872127934,-0.35136176171811545,12.357144355773926,0.42245471440255644,0,109.01326507991999,5.219789835920054,0,0,0,0,0.1322998046875,,
16.02649237499962,1300.5951041666979,,,,-0.0458251953125,-0.0031982421875,-0.9981689453125,-0.030520258937456045,-1.305310406719509,12.342287015914916,1.119006910175085,0,237.1902453468,13.809781308323867,0,0,0,0,0.187646484375,,
