Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.23329224999996662,1000,,,,-0.06171875,0.0658203125,-0.988671875,0.00008346253579034598,-0.11347566968182189,16.406261825561522,0.04695276916027069,0,0,0.7703207106772261,0,0,0,0,0.0666015625,,
0.23828450000000884,1000,,,,-0.0625,0.06474609375,-0.98701171875,0.0000849001165416804,-0.11554131906023003,16.406467342376708,0.05028789564967155,0,0,0.825046521398518,0,0,0,0,0.06640625,,
0.7380757499999979,1000,,,,-0.0625,0.06240234375,-0.98525390625,0.00006348659325206445,-0.11524849958889838,16.406666374206544,0.0480412557721138,0,0,0.7882001373173889,0,0,0,0,0.066796875,,
1.2371722500000033,1000,,,,-0.0625,0.0640625,-0.98671875,0.0000759928170890776,-0.11473168740130406,16.40608968734741,0.04817088320851326,0,0,0.7902960317797166,0,0,0,0,0.06796875,,
1.7383412499999977,1000,,,,-0.0625,0.06025390625,-0.9833984375,0.00010765759865860403,-0.11645238315823157,16.407062530517578,0.04848345685750246,0,0,0.7954724034049502,0,0,0,0,0.0671875,,
2.2390702500000073,1000,,,,-0.0625,0.06435546875,-0.98759765625,0.00005750799112014233,-0.11469476744501143,16.406552886962892,0.05016591362655163,0,0,0.8230484597165055,0,0,0,0,0.06875,,
2.740561000000002,1000,,,,-0.0625,0.06484375,-0.9875,0.00007962864398919441,-0.11455249054027389,16.406681632995607,0.04813836608082056,0,0,0.7897909577320863,0,0,0,0,0.066796875,,
3.241163000000003,1000,,,,-0.0625,0.0634765625,-0.98671875,0.00008864524476131525,-0.11170981518694635,16.407192707061768,0.04689788166433573,0,0,0.7694632839841905,0,0,0,0,0.06640625,,
3.7385887499999924,1000,,,,-0.0625,0.0640625,-0.98720703125,0.0000629901140786222,-0.11306834055355051,16.40767707824707,0.048405194841325286,0,0,0.7942171538130356,0,0,0,0,0.0673828125,,
4.239706750000003,1000,,,,-0.0625,0.0646484375,-0.98642578125,0.0000740412637232879,-0.11355128368768376,16.407970809936522,0.047081665880978105,0,0,0.7725143006022854,0,0,0,0,0.06669921875,,
4.739525749999992,1000,,,,-0.0625,0.06279296875,-0.98544921875,0.00007439092892663151,-0.11224634400209114,16.407711887359618,0.0482938164845109,0,0,0.7923896691414821,0,0,0,0,0.06787109375,,
5.239000249999997,1000,,,,-0.0625,0.06572265625,-0.98837890625,0.00007279194687364091,-0.11459584830474426,16.40789403915405,0.04752286672592163,0,0,0.7797519901116772,0,0,0,0,0.06640625,,
5.738850500000001,1000,,,,-0.0625,0.06455078125,-0.98720703125,0.00007349972525229321,-0.11458259636557257,16.408047103881835,0.04784497451037169,0,0,0.7850442725023623,0,0,0,0,0.06640625,,
6.238596249999999,1000,,,,-0.0625,0.06123046875,-0.9841796875,0.00010371407614434796,-0.11244471988664871,16.40847501754761,0.045896112360060214,0,0,0.7530847701821568,0,0,0,0,0.06689453125,,
6.740936000000003,1000,,,,-0.0625,0.0673828125,-0.99052734375,0.00006183814655902376,-0.11271719104570257,16.408530139923094,0.047931107133626936,0,0,0.7864801968568933,0,0,0,0,0.067578125,,
7.238745250000008,1000,,,,-0.0619140625,0.06298828125,-0.98583984375,0.00008890619018183059,-0.11309074520121701,16.408432483673096,0.04712295234203338,0,0,0.7732136164660457,0,0,0,0,0.0673828125,,
