Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.5624447499999544,1000,,,,-0.06416015625,0.00830078125,-0.99375,-0.0005511148283556804,-0.053975320623133996,16.804668426513672,-0.013232479840517033,0,0,0.5467410940313979,0,0,0,0,0.06181640625,,
0.7172494999997552,1000,,,,-0.055859375,0.01357421875,-0.9814453125,-0.0005556665629582256,-0.05312269103668924,16.803577423095703,0.01556634098291397,0,0,0.6436279681742991,0,0,0,0,0.066796875,,
2.525966499999817,1000,,,,-0.0642578125,0.0146484375,-0.98623046875,-0.0005402423335584973,-0.05346822989837828,16.803845977783205,0.0030642751231789674,0,0,0.7840213334321036,0,0,0,0,0.09091796875,,
4.458543499999818,1000,,,,-0.0625,0.01484375,-0.9841796875,-0.0005776673770165968,-0.05183051896585408,16.80469732284546,-0.028531010113656514,0,0,0.47945583569769845,0,0,0,0,0.06025390625,,
6.081392249999848,1000,,,,-0.0625,0.01494140625,-0.984375,-0.0005686331961464784,-0.05271575572165435,16.80394058227539,-0.027770415730774396,0,0,0.46665190554481273,0,0,0,0,0.05859375,,
7.539026749999797,1006.6606000000145,,,,-0.0625,0.01513671875,-0.9841796875,-0.000563629117413913,-0.055136659293716896,16.80452013015747,-0.028685445934534065,0,0,0.48204461174494123,0,0,0,0,0.05859375,,
8.893580249999811,1048.2803083333536,,,,-0.0625,0.01484375,-0.98427734375,-0.0005731898504477769,-0.052561772175512986,16.80385293960571,-0.028141332268714896,0,0,0.4728831117274532,0,0,0,0,0.05859375,,
10.44030599999984,1099.0343500000222,,,,-0.0625,0.01484375,-0.98427734375,-0.0005632993201700077,-0.0535202772543458,16.80453233718872,-0.027575928941369048,0,0,0.463400307845272,0,0,0,0,0.05859375,,
12.226802499999781,1158.6319333333563,,,,-0.069921875,0.008203125,-0.99130859375,-0.01388439832402145,-0.2999697151943499,16.795504570007324,0.3272885756194591,0,127.54866173615999,5.496488074751269,1.5408712304987122,31.95992810658198,3.4200207348018927,0.060726859938359426,0.18447265625,,
13.784479499999827,1210.7004166666866,,,,-0.08251953125,0.0099609375,-0.991796875,-0.017358984053872716,-0.7984982586613301,16.78954963684082,0.5397230209410191,0,249.96605547143997,9.061537378928174,4.369062164622302,48.065525473888485,0.18387288965330942,0.0881840461105356,0.52431640625,,
