Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.23797699999993202,1000,,,,-0.0625,0.0123046875,-0.9767578125,-0.00006135818727607067,-0.03416258525770814,0,-0.01659206810873002,0,0,0,0,0,0,0,0.05859375,,
0.23918875000015832,1000,,,,-0.0625,0.012109375,-0.97626953125,0.000031062033574851465,-0.02661838800026601,0,-0.016294924775138497,0,0,0,0,0,0,0,0.05859375,,
0.7413090000002178,1000,,,,-0.0625,0.01201171875,-0.9767578125,0.000014700837590915906,-0.005763652732632882,0,-0.019532025093212724,0,0,0,0,0,0,0,0.05859375,,
1.2402885000001875,1000,,,,-0.0625,0.0125,-0.9763671875,0.00000827218783309222,-0.0028835332590900725,0,-0.018320115609094502,0,0,0,0,0,0,0,0.05859375,,
1.739682750000199,1000,,,,-0.0625,0.0123046875,-0.97646484375,0.00002065156217232627,-0.002648963183671171,0,-0.017078218073584138,0,0,0,0,0,0,0,0.05859375,,
2.2411615000002088,1000,,,,-0.0625,0.0119140625,-0.976171875,-0.00003170592560043866,-0.0033559124741676023,0,-0.01685440484434366,0,0,0,0,0,0,0,0.05859375,,
2.744256000000192,1000,,,,-0.0625,0.0123046875,-0.97685546875,9.665704181119295e-7,-0.005809711957319787,0,-0.016702635982073843,0,0,0,0,0,0,0,0.05859375,,
3.2412317500002445,1000,,,,-0.0625,0.01171875,-0.97646484375,-0.00003481538964772657,-0.002816144594783056,0,-0.017988901305943727,0,0,0,0,0,0,0,0.05859375,,
3.7408970000002304,1000,,,,-0.0625,0.012109375,-0.9759765625,-0.000017469701180321892,-0.0013144418367024896,0,-0.020559740997850896,0,0,0,0,0,0,0,0.05859375,,
4.239719250000175,1000,,,,-0.0625,0.01171875,-0.97587890625,6.897908269841298e-7,-0.0036610833979320895,0,-0.017168511217460037,0,0,0,0,0,0,0,0.05859375,,
