Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.4225005000000179,1000,,,,-0.0625,0.01591796875,-0.96103515625,0.0005817978776830039,-0.3510781220523775,12.467309045791627,-0.1488999674469232,0,0,1.8563823623048588,0,0,0,0,0.05859375,,
0.4003300000000104,1000,,,,-0.0625,0.01572265625,-0.96083984375,0.0005630390061586758,-0.34974469083127807,12.46798391342163,-0.15014195818454018,0,0,1.8719656498105632,0,0,0,0,0.05859375,,
1.4305707500000022,1000,,,,-0.0625,0.01552734375,-0.96103515625,0.0005891845996593358,-0.35033569167621453,12.467702054977417,-0.15054559599608175,0,0,1.876958170125301,0,0,0,0,0.05859375,,
2.4167262499999898,1000,,,,-0.0625,0.015625,-0.96083984375,0.0005729235188676606,-0.35036930239862824,12.467841958999633,-0.1486018101125955,0,0,1.8527435874053506,0,0,0,0,0.05859375,,
3.37810275000002,1000,,,,-0.0625,0.01591796875,-0.9607421875,0.0005429063096248833,-0.3506949625024953,12.468011808395385,-0.14995562568306914,0,0,1.869648121573589,0,0,0,0,0.05859375,,
4.351308500000002,1000,,,,-0.0625,0.01611328125,-0.9607421875,0.0005491455234873259,-0.3518693772734056,12.468370580673218,-0.14921389263123266,0,0,1.8604531700600568,0,0,0,0,0.05859375,,
5.3390514999999885,1014.8399499999992,,,,-0.062109375,0.0158203125,-0.96103515625,0.000583714429643079,-0.3517411113443218,12.467907905578613,-0.14945240918546907,0,0,1.8633586448969361,0,0,0,0,0.05732421875,,
6.355631749999988,1048.6917749999998,,,,-0.0625,0.01591796875,-0.96064453125,0.0005689968675068632,-0.35210034188607725,12.468016529083252,-0.15034573882818214,0,0,1.8745128470574735,0,0,0,0,0.05859375,,
7.37332800000002,1082.6603999999995,,,,-0.0625,0.0158203125,-0.96103515625,0.0005645071158005987,-0.35154746363040684,12.468354034423829,-0.14897406253963702,0,0,1.8574610564230174,0,0,0,0,0.05859375,,
8.38276299999999,1116.262541666666,,,,-0.0634765625,0.0171875,-0.96376953125,0.0012492386703887282,-0.3517773674172412,12.465639734268189,-0.08702248077839606,0,0,2.2743246615938975,0,0,0,0,0.0587890625,,
9.408655750000015,1150.4450333333327,,,,-0.07529296875,0.04013671875,-0.9876953125,0.007984604294369825,-0.5605752990977197,12.455032205581665,0.13263191595673568,0,145.97933863728,1.651858037079694,1.1243723042402074,73.02496327029965,0.5119820660144261,0.37249568267273,0.08115234375,,
10.470321250000003,1185.8450833333325,,,,-0.0716796875,0.0341796875,-0.9880859375,0.010058327698889407,-0.7359337175976316,12.447030830383301,0.3108212353289127,0,207.24039538248,3.8686693379008594,2.09322181699141,54.73146323286274,0.3547349583396812,0.1947196572174097,0.09931640625,,
11.47658500000001,1219.4563666666659,,,,-0.0734375,0.02880859375,-0.98984375,0.013068368860815463,-0.9427177989937148,12.435264682769775,0.5072134257853032,0,255.93508151327998,6.307200710491306,3.352212454275661,53.19348030715262,0.28237777432752686,0.15021892712125134,0.1349609375,,
12.479189750000002,1252.8551166666657,,,,-0.07548828125,0.03232421875,-0.9884765625,0.016191048554368783,-1.152164741235801,12.424457788467407,0.7354956240952016,0,297.4041045408,9.137976429612895,4.823410413186801,52.76398609177586,0.23966893012290505,0.12642266535361424,0.14052734375,,
13.484645999999998,1286.3409916666665,,,,-0.07216796875,0.03134765625,-0.98916015625,0.019466177919992174,-1.368141711058699,12.411884069442749,0.9862434537708762,0,335.52209540447996,12.24089476737705,6.540131792237501,53.43036938788315,0.20965947276597613,0.11200186291531411,0.14765625,,
14.510295000000013,1320.482866666666,,,,-0.0755859375,0.0548828125,-1.0029296875,0.02279821648981784,-1.5928928318084563,12.3975679397583,1.2561598004400731,0,369.34657630824,15.57302472192905,8.427886454883563,54.130719282068945,0.1893061327829168,0.10246482877140392,0.1861328125,,
15.567777499999996,1355.8301833333335,,,,-0.07265625,0.04091796875,-0.99345703125,0.02652845026542152,-1.8262854532568003,12.381693506240845,1.5618336619436746,0,402.01913990568,19.337890886942226,10.674015651129737,55.16980866190448,0.17139035165413463,0.09451593604961506,0.27333984375,,
16.574498249999998,1389.3497249999994,,,,-0.07138671875,0.02998046875,-0.98720703125,0.03033173812951385,-2.0529534191536314,12.365852308273315,1.8455568613111974,0,431.23595158416,22.82163030975163,13.086502656418523,57.33812059754517,0.1569551884079578,0.08998615973754014,0.28232421875,,
17.618128250000005,1424.097816666666,,,,-0.07099609375,0.0341796875,-0.99130859375,0.03383412967038661,-2.2896567639006102,12.34787392616272,2.162746805101633,0,458.14892864999996,26.70496759540486,15.50663957216435,58.07635530707864,0.14772421871510294,0.08579462464046347,0.2576171875,,
18.64079175000001,1458.2284583333326,,,,-0.054296875,0.05625,-0.998828125,0.03687486098138114,-2.516853759614036,12.331103563308716,2.48280938282609,0,483.49110938904,30.61551137548131,17.83281156460925,58.24909214829156,0.14118864213157262,0.08223636837901499,0.31279296875,,
19.658790500000002,1492.1161916666663,,,,-0.0642578125,0.03525390625,-0.98798828125,0.040119829801426386,-2.7386447230768947,12.312983655929566,2.7932592572271826,0,507.05305429104,34.392976621297755,20.348127043938455,59.16154652390453,0.13463956737311927,0.07965176791124404,0.4732421875,,
